 ,Well,Fluor,Target,Content,Sample,Cq,SQ
 ,L05,SYBR,,Unkn,,,
 ,L06,SYBR,,Unkn,,,
 ,L07,SYBR,,Unkn,,,
 ,L08,SYBR,,Unkn,,,
 ,L09,SYBR,,Unkn,,,
 ,L10,SYBR,,Unkn,,,
 ,L11,SYBR,,Unkn,,,
 ,L12,SYBR,,Unkn,,,
 ,L13,SYBR,,Unkn,,,
 ,L14,SYBR,,Unkn,,,
 ,L15,SYBR,,Unkn,,,
 ,L16,SYBR,,Unkn,,,
 ,L17,SYBR,,Unkn,,,
 ,L18,SYBR,,Unkn,,,
 ,L19,SYBR,,Unkn,,,
 ,L20,SYBR,,Unkn,,,
 ,L21,SYBR,,Unkn,,,
 ,L22,SYBR,,Unkn,,,
 ,L23,SYBR,,Unkn,,,
 ,L24,SYBR,,Unkn,,38.37,
 ,M01,SYBR,,Unkn,,,
 ,M02,SYBR,,Unkn,,38.31,
 ,M03,SYBR,,Unkn,,35.71,
 ,M04,SYBR,,Unkn,,,
 ,M05,SYBR,,Unkn,,,
 ,M06,SYBR,,Unkn,,,
 ,M07,SYBR,,Unkn,,,
 ,M08,SYBR,,Unkn,,38.33,
 ,M09,SYBR,,Unkn,,,
 ,M10,SYBR,,Unkn,,,
 ,M11,SYBR,,Unkn,,,
 ,M12,SYBR,,Unkn,,38.24,
 ,M13,SYBR,,Unkn,,33.87,
 ,M14,SYBR,,Unkn,,39.96,
 ,M15,SYBR,,Unkn,,,
 ,M16,SYBR,,Unkn,,31.2,
 ,M17,SYBR,,Unkn,,,
 ,M18,SYBR,,Unkn,,33.82,
 ,M19,SYBR,,Unkn,,,
 ,M20,SYBR,,Unkn,,35.88,
 ,M21,SYBR,,Unkn,,34.98,
 ,M22,SYBR,,Unkn,,,
 ,M23,SYBR,,Unkn,,38.43,
 ,M24,SYBR,,Unkn,,35.67,
 ,N01,SYBR,,Unkn,,,
 ,N02,SYBR,,Unkn,,,
 ,N03,SYBR,,Unkn,,36.55,
 ,N04,SYBR,,Unkn,,,
 ,N05,SYBR,,Unkn,,,
 ,N06,SYBR,,Unkn,,38.72,
 ,N07,SYBR,,Unkn,,,
 ,N08,SYBR,,Unkn,,,
 ,N09,SYBR,,Unkn,,,
 ,N10,SYBR,,Unkn,,,
 ,N11,SYBR,,Unkn,,39.12,
 ,N12,SYBR,,Unkn,,,
 ,N13,SYBR,,Unkn,,37.53,
 ,N14,SYBR,,Unkn,,34.48,
 ,N15,SYBR,,Unkn,,,
 ,N16,SYBR,,Unkn,,,
 ,N17,SYBR,,Unkn,,,
 ,N18,SYBR,,Unkn,,,
 ,N19,SYBR,,Unkn,,,
 ,N20,SYBR,,Unkn,,39.83,
 ,N21,SYBR,,Unkn,,38.57,
 ,N22,SYBR,,Unkn,,38.94,
 ,N23,SYBR,,Unkn,,,
 ,N24,SYBR,,Unkn,,,
 ,O01,SYBR,,Unkn,,,
 ,O02,SYBR,,Unkn,,33.74,
 ,O03,SYBR,,Unkn,,32.99,
 ,O04,SYBR,,Unkn,,31.85,
 ,O05,SYBR,,Unkn,,37.2,
 ,O06,SYBR,,Unkn,,34.89,
 ,O07,SYBR,,Unkn,,39.57,
 ,O08,SYBR,,Unkn,,,
 ,O09,SYBR,,Unkn,,35.15,
 ,O10,SYBR,,Unkn,,29.6,
 ,O11,SYBR,,Unkn,,,
 ,O12,SYBR,,Unkn,,,
 ,O13,SYBR,,Unkn,,39.68,
 ,O14,SYBR,,Unkn,,39.5,
 ,O15,SYBR,,Unkn,,39.42,
 ,O16,SYBR,,Unkn,,37.39,
 ,O17,SYBR,,Unkn,,,
 ,O18,SYBR,,Unkn,,34.51,
 ,O19,SYBR,,Unkn,,,
 ,O20,SYBR,,Unkn,,,
 ,O21,SYBR,,Unkn,,,
 ,O22,SYBR,,Unkn,,,
 ,O23,SYBR,,Unkn,,38.17,
 ,O24,SYBR,,Unkn,,,
 ,P01,SYBR,,Unkn,,,
 ,P02,SYBR,,Unkn,,,
 ,P03,SYBR,,Unkn,,31.62,
 ,P04,SYBR,,Unkn,,27.55,
 ,P05,SYBR,,Unkn,,,
 ,P06,SYBR,,Unkn,,,
 ,P07,SYBR,,Unkn,,34.23,
 ,P08,SYBR,,Unkn,,28.89,
 ,P09,SYBR,,Unkn,,36.66,
 ,P10,SYBR,,Unkn,,,
 ,P11,SYBR,,Unkn,,,
 ,P12,SYBR,,Unkn,,33.26,
 ,P13,SYBR,,Unkn,,34.98,
 ,P14,SYBR,,Unkn,,35.33,
 ,P15,SYBR,,Unkn,,39.41,
 ,P16,SYBR,,Unkn,,,
 ,P17,SYBR,,Unkn,,34.62,
 ,P18,SYBR,,Unkn,,,
 ,P19,SYBR,,Unkn,,,
 ,P20,SYBR,,Unkn,,37.28,
 ,P21,SYBR,,Unkn,,28.72,
 ,P22,SYBR,,Unkn,,34.76,
 ,P23,SYBR,,Unkn,,31.04,
 ,P24,SYBR,,Unkn,,,
