 ,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
 ,B17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C01,SYBR,dapB,Unkn,gAT-245,22.03,22.03,0,,,,0,60,
 ,C02,SYBR,dapB,Unkn,gAT-246,22.98,22.98,0,,,,0,60,
 ,C03,SYBR,dapB,Unkn,gAT-247,19.24,19.24,0,,,,0,60,
 ,C04,SYBR,dapB,Unkn,gAT-248,19.05,19.05,0,,,,0,60,
 ,C05,SYBR,dapB,Unkn,gAT-249,18.89,18.89,0,,,,0,60,
 ,C06,SYBR,dapB,Unkn,gAT-250,22.4,22.4,0,,,,0,60,
 ,C07,SYBR,dapB,Unkn,gAT-251,22.35,22.35,0,,,,0,60,
 ,C08,SYBR,dapB,Unkn,gAT-252,22.34,22.34,0,,,,0,60,
 ,C09,SYBR,dapB,Unkn,gAT-253,19.65,19.65,0,,,,0,60,
 ,C10,SYBR,dapB,Unkn,gAT-114,19.7,19.7,0,,,,0,60,
 ,C11,SYBR,dapB,Unkn,no_temp,36.66,36.66,0,,,,0,60,
 ,C12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,C24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D01,SYBR,hcaT,Unkn,gAT-245,21.68,21.68,0,,,,0,60,
 ,D02,SYBR,hcaT,Unkn,gAT-246,21.55,21.55,0,,,,0,60,
 ,D03,SYBR,hcaT,Unkn,gAT-247,20.62,20.62,0,,,,0,60,
 ,D04,SYBR,hcaT,Unkn,gAT-248,21.81,21.81,0,,,,0,60,
 ,D05,SYBR,hcaT,Unkn,gAT-249,22,22,0,,,,0,60,
 ,D06,SYBR,hcaT,Unkn,gAT-250,22.53,22.53,0,,,,0,60,
 ,D07,SYBR,hcaT,Unkn,gAT-251,23.01,23.01,0,,,,0,60,
 ,D08,SYBR,hcaT,Unkn,gAT-252,22.75,22.75,0,,,,0,60,
 ,D09,SYBR,hcaT,Unkn,gAT-253,22.87,22.87,0,,,,0,60,
 ,D10,SYBR,hcaT,Unkn,gAT-114,22.82,22.82,0,,,,0,60,
 ,D11,SYBR,hcaT,Unkn,no_temp,,0,0,,,0,0,60,
 ,D12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,D24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E01,SYBR,hcaT,Unkn,gAT-245,21.66,21.66,0,,,,0,60,
 ,E02,SYBR,hcaT,Unkn,gAT-246,21.51,21.51,0,,,,0,60,
 ,E03,SYBR,hcaT,Unkn,gAT-247,20.74,20.74,0,,,,0,60,
 ,E04,SYBR,hcaT,Unkn,gAT-248,21.63,21.63,0,,,,0,60,
 ,E05,SYBR,hcaT,Unkn,gAT-249,21.93,21.93,0,,,,0,60,
 ,E06,SYBR,hcaT,Unkn,gAT-250,22.44,22.44,0,,,,0,60,
 ,E07,SYBR,hcaT,Unkn,gAT-251,22.82,22.82,0,,,,0,60,
 ,E08,SYBR,hcaT,Unkn,gAT-252,22.64,22.64,0,,,,0,60,
 ,E09,SYBR,hcaT,Unkn,gAT-253,22.93,22.93,0,,,,0,60,
 ,E10,SYBR,hcaT,Unkn,gAT-114,22.72,22.72,0,,,,0,60,
 ,E11,SYBR,hcaT,Unkn,no_temp,,0,0,,,0,0,60,
 ,E12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,E24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F01,SYBR,hcaT,Unkn,gAT-245,21.58,21.58,0,,,,0,60,
 ,F02,SYBR,hcaT,Unkn,gAT-246,21.26,21.26,0,,,,0,60,
 ,F03,SYBR,hcaT,Unkn,gAT-247,20.52,20.52,0,,,,0,60,
 ,F04,SYBR,hcaT,Unkn,gAT-248,21.95,21.95,0,,,,0,60,
 ,F05,SYBR,hcaT,Unkn,gAT-249,22.32,22.32,0,,,,0,60,
 ,F06,SYBR,hcaT,Unkn,gAT-250,22.32,22.32,0,,,,0,60,
 ,F07,SYBR,hcaT,Unkn,gAT-251,22.58,22.58,0,,,,0,60,
 ,F08,SYBR,hcaT,Unkn,gAT-252,22.62,22.62,0,,,,0,60,
 ,F09,SYBR,hcaT,Unkn,gAT-253,22.75,22.75,0,,,,0,60,
 ,F10,SYBR,hcaT,Unkn,gAT-114,22.63,22.63,0,,,,0,60,
 ,F11,SYBR,hcaT,Unkn,no_temp,,0,0,,,0,0,60,
 ,F12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,F24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G01,SYBR,gDNA,Unkn,gAT-245,27.18,27.18,0,,,,0,60,
 ,G02,SYBR,gDNA,Unkn,gAT-246,27.19,27.19,0,,,,0,60,
 ,G03,SYBR,gDNA,Unkn,gAT-247,27.24,27.24,0,,,,0,60,
 ,G04,SYBR,gDNA,Unkn,gAT-248,26.27,26.27,0,,,,0,60,
 ,G05,SYBR,gDNA,Unkn,gAT-249,26.49,26.49,0,,,,0,60,
 ,G06,SYBR,gDNA,Unkn,gAT-250,26.12,26.12,0,,,,0,60,
 ,G07,SYBR,gDNA,Unkn,gAT-251,26.3,26.3,0,,,,0,60,
 ,G08,SYBR,gDNA,Unkn,gAT-252,25.81,25.81,0,,,,0,60,
 ,G09,SYBR,gDNA,Unkn,gAT-253,26.51,26.51,0,,,,0,60,
 ,G10,SYBR,gDNA,Unkn,gAT-114,26.42,26.42,0,,,,0,60,
 ,G11,SYBR,gDNA,Unkn,no_temp,,0,0,,,0,0,60,
 ,G12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,G24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H01,SYBR,gDNA,Unkn,gAT-245,26.95,26.95,0,,,,0,60,
 ,H02,SYBR,gDNA,Unkn,gAT-246,27.13,27.13,0,,,,0,60,
 ,H03,SYBR,gDNA,Unkn,gAT-247,26.87,26.87,0,,,,0,60,
 ,H04,SYBR,gDNA,Unkn,gAT-248,26.38,26.38,0,,,,0,60,
 ,H05,SYBR,gDNA,Unkn,gAT-249,26.83,26.83,0,,,,0,60,
 ,H06,SYBR,gDNA,Unkn,gAT-250,26.18,26.18,0,,,,0,60,
 ,H07,SYBR,gDNA,Unkn,gAT-251,26.29,26.29,0,,,,0,60,
 ,H08,SYBR,gDNA,Unkn,gAT-252,25.76,25.76,0,,,,0,60,
 ,H09,SYBR,gDNA,Unkn,gAT-253,26.29,26.29,0,,,,0,60,
 ,H10,SYBR,gDNA,Unkn,gAT-114,26.66,26.66,0,,,,0,60,
 ,H11,SYBR,gDNA,Unkn,no_temp,,0,0,,,0,0,60,
 ,H12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,H24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I01,SYBR,gDNA,Unkn,gAT-245,26.54,26.54,0,,,,0,60,
 ,I02,SYBR,gDNA,Unkn,gAT-246,27,27,0,,,,0,60,
 ,I03,SYBR,gDNA,Unkn,gAT-247,27.01,27.01,0,,,,0,60,
 ,I04,SYBR,gDNA,Unkn,gAT-248,26.18,26.18,0,,,,0,60,
 ,I05,SYBR,gDNA,Unkn,gAT-249,26.29,26.29,0,,,,0,60,
 ,I06,SYBR,gDNA,Unkn,gAT-250,26.26,26.26,0,,,,0,60,
 ,I07,SYBR,gDNA,Unkn,gAT-251,26.39,26.39,0,,,,0,60,
 ,I08,SYBR,gDNA,Unkn,gAT-252,25.8,25.8,0,,,,0,60,
 ,I09,SYBR,gDNA,Unkn,gAT-253,26.64,26.64,0,,,,0,60,
 ,I10,SYBR,gDNA,Unkn,gAT-114,26.86,26.86,0,,,,0,60,
 ,I11,SYBR,gDNA,Unkn,no_temp,,0,0,,,0,0,60,
 ,I12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,I24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,J24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,K24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,L24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,M24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,N24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,O24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P01,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P02,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P03,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P04,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P05,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P06,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P07,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P08,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P09,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P10,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P11,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,P24,SYBR,,Unkn,,,0,0,,,0,0,60,
